id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link    ,wikipedia_link,keywords,score,last_updated,landing
30878,OPDB,small_airport,Dalbandin Airport,28.87829971,64.39980316,2800,AS,PK,PK-BA,Dalbandin,1,OPDB,DBA,OPIS,321,https://en.wikipedia.org/wiki/Dalbandin_Airport,OPXX,450,2011-10-09T09:59:40+00:00,yes
30781,OPBN,small_airport,Bannu Airport,32.9729,70.527901,1325,AS,PK,PK-NW,Bannu,1,OPBN,BNP,OPIS,321,https://en.wikipedia.org/wiki/Bannu_Airport,,350,2018-09-15T16:25:40+00:00,yes
31575,OPKD,small_airport,Hyderabad Airport,25.3181,68.366096,130,AS,PK,PK-SD,Hyderabad,1,OPKD,HDD,OPIS,321,https://en.wikipedia.org/wiki/Hyderabad_Airport_(Sindh),,350,2018-09-15T03:52:59+00:00,yes
31704,OPJI,small_airport,Jiwani Airport,25.06780052,61.80540085,186,AS,PK,PK-BA,Jiwani,1,OPJI,JIW,OPIS,321,https://en.wikipedia.org/wiki/Jiwani_Airport,,350,2011-10-09T10:16:02+00:00,no
31735,OPKH,small_airport,Khuzdar Airport,27.79059982,66.64730072,4012,AS,PK,PK-BA,Khuzdar,1,OPKH,KDD,OPIS,321,https://en.wikipedia.org/wiki/Khuzdar_Airport,,350,2011-10-09T10:19:00+00:00,no
32145,OPPC,small_airport,Parachinar Airport,33.90209961,70.07160187,5800,AS,PK,PK-TA,Parachinar,1,OPPC,PAJ,OPIS,321,https://en.wikipedia.org/wiki/Parachinar_Airport,,350,2011-10-09T10:25:58+00:00,no
5259,OPMA,medium_airport,Mangla Airport,33.05009842,73.63839722,902,AS,PK,PK-PB,Mangla,0,OPMA,XJM,OPIS,321,https://en.wikipedia.org/wiki/Mangla_Airport,,250,2008-09-01T20:47:58+00:00,no
5258,OPLH,medium_airport,Walton Airport,31.49480057,74.34619904,679,AS,PK,PK-PB,Walton,0,OPLH,XJM,OPIS,321,https://en.wikipedia.org/wiki/Walton_Airport,,250,2008-09-01T20:47:57+00:00,no
5461,OP12,medium_airport,Bandari Air Base,27.8465004,65.16000366,2524,AS,PK,PK-BA,Walton,0,OPLH,XJM,OPIS,321,https://en.wikipedia.org/wiki/Walton_Airport,OP12,50,2009-02-20T09:00:22+00:00,no
5485,OP36,small_airport,Robray Airport,26.25189972,63.13029861,1840,AS,PK,PK-BA,Walton,0,OP36,XJM,OP36,321,https://en.wikipedia.org/wiki/Walton_Airport,,50,2008-09-01T20:49:17+00:00,no
41610,OPAB,small_airport,Abbottabad Airport,34.200001,73.25,4072,AS,PK,PK-NW,Abbottabad,0,OPAB,XJM,OP37,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,AAW,50,2017-08-19T00:45:27+00:00,no
5282,OPTH,small_airport,Talhar Airport,24.84149933,68.83840179,28,AS,PK,PK-SD,Badin,0,OPTH,BDN,OP38,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-06-13T14:30:04+00:00,no
41612,OPBR,small_airport,Bahawalnagar Airport,29.94630051,73.24909973,500,AS,PK,PK-PB,Bahawalnagar,0,OPBR,WGB,OP39,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-09-01T20:47:29+00:00,no
41635,PK-0002,small_airport,Basal Airport,33.52999878,72.26000214,396,AS,PK,PK-PB,Basal,0,OPBR,WGB,OP40,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-09-01T20:49:23+00:00,no
5463,OP14,small_airport,Belab Airport,30.34000015,70.55670166,377,AS,PK,PK-PB,Belab,0,OP14,WGB,OP14,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-09-01T20:48:58+00:00,no
5246,OPBG,small_airport,Bhagatanwala Airport,32.05609894,72.9484024,600,AS,PK,PK-PB,Bhagatanwala,0,OPBG,BHW,OP15,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2012-07-01T15:13:26+00:00,no
41628,PK-BHC,small_airport,Bhurban Heliport,33.96099854,73.45200348,5750,AS,PK,PK-NW,Bhurban,0,OPBG,BHC,OP16,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-09-01T20:48:49+00:00,no
41629,PK-CWP,small_airport,Campbellpore Airport,33.76670074,72.36689758,1175,AS,PK,PK-PB,Campbellpore,0,OPBG,CWP,OP17,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-09-01T20:48:50+00:00,no
41616,OPKA,small_airport,Cape Monz Airport,24.82793236,66.66442871,40,AS,PK,PK-SD,Cape Monz,0,OPKA,CWP,OP18,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2008-09-01T20:47:42+00:00,no
41632,PK-REQ,small_airport,Reko Diq Airport,29.04692,62.196819,2784,AS,PK,PK-BA,Chagai,0,OPKA,REQ,OP19,321,https://en.wikipedia.org/wiki/Abbottabad_Airport,,50,2019-05-10T11:11:38+00:00,no
30826,OPCL,small_airport,Chilas Airport,35.42670059,74.08170319,4146,AS,PK,PK-NA,Chilas,0,OPCL,CHB,OP20,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2011-10-09T09:57:37+00:00,no
32122,OPKE,small_airport,Chore Airport,25.52599907,69.77179718,200,AS,PK,PK-SD,Chore,0,OPKE,CHB,OP21,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:48+00:00,no
5459,OP10,small_airport,Thar Airport,27.20050049,69.15380096,167,AS,PK,PK-SD,Chuchra,0,OP10,CHB,OP10,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:54+00:00,no
5466,OP17,small_airport,Dadu West Airport,26.74080086,67.66660309,128,AS,PK,PK-SD,Dadu,0,OP17,DDU,OP17,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:01+00:00,no
41614,OPDD,small_airport,Dadu Airport,26.55450058,67.67459869,121,AS,PK,PK-SD,Dadu,0,OPDD,DDU,OP18,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2012-04-16T01:06:07+00:00,no
41615,OPDK,small_airport,Daharki Airport,28.5,69.69999695,274,AS,PK,PK-PB,Daharki,0,OPDK,DDU,OP19,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:36+00:00,yes
5479,OP28,small_airport,Dhingar Airport,29.92329979,66.74610138,5215,AS,PK,PK-BA,Dhingar,0,OP28,DDU,OP28,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:05+00:00,no
41617,OPKF,small_airport,Gharo Airport,24.72900009,67.58760071,20,AS,PK,PK-SD,Gharo,0,OPKF,DDU,OP29,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:47:49+00:00,yes
41630,PK-GRT,small_airport,Gujrat Airport,32.60309982,74.07710266,760,AS,PK,PK-PB,Gujrat,0,OPKF,GRT,OP30,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:48:51+00:00,no
5476,OP25,small_airport,Gurha Salim Airport,32.87850189,73.6053009,800,AS,PK,PK-PB,Gurha Salim,0,OP25,GRT,OP25,321,https://en.wikipedia.org/wiki/Chilas_Airport,"OP 922, XJM",50,2011-10-09T12:34:55+00:00,yes
5469,OP1A,small_airport,Jam Nida Northwest Airport,26.19809914,67.50370026,420,AS,PK,PK-SD,Jam Nida,0,OP1A,GRT,OP1A,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:03+00:00,yes
5484,OP35,small_airport,Juzzak Airport,29.04050064,61.6473999,2861,AS,PK,PK-BA,Juzzak,0,OP35,GRT,OP35,321,https://en.wikipedia.org/wiki/Chilas_Airport,,50,2008-09-01T20:49:15+00:00,yes
